Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
793154652,MNQM5,04/08/2025 13:54:04 -04:00,04/08/2025 13:56:15 -04:00,17640.750000000,17661.250000000,0.74000,41.000000000,1,Long,04/08/2025 00:00:00 -05:00,00:02:10.9703800
986153324,MNQM5,05/30/2025 11:16:06 -04:00,05/30/2025 11:25:51 -04:00,21352.500000000,21338.500000000,0.74000,-28.000000000,1,Long,05/30/2025 00:00:00 -05:00,00:09:44.7560990
793163112,MNQM5,04/08/2025 13:57:47 -04:00,04/08/2025 13:58:09 -04:00,17650.750000000,17653.500000000,0.74000,5.500000000,1,Long,04/08/2025 00:00:00 -05:00,00:00:22.0268950
793170087,MNQM5,04/08/2025 13:59:27 -04:00,04/08/2025 13:59:55 -04:00,17665.500000000,17668.500000000,0.74000,6.000000000,1,Long,04/08/2025 00:00:00 -05:00,00:00:28.2753000
793179720,MNQM5,04/08/2025 14:01:51 -04:00,04/08/2025 14:01:52 -04:00,17632.750000000,17618.000000000,0.74000,-29.500000000,1,Long,04/08/2025 00:00:00 -05:00,00:00:01.2394890
986217301,MNQM5,05/30/2025 11:27:27 -04:00,05/30/2025 11:32:33 -04:00,21366.000000000,21336.000000000,0.74000,-60.000000000,1,Long,05/30/2025 00:00:00 -05:00,00:05:06.4559490
793190948,MNQM5,04/08/2025 14:03:39 -04:00,04/08/2025 14:04:12 -04:00,17665.750000000,17669.250000000,0.74000,7.000000000,1,Long,04/08/2025 00:00:00 -05:00,00:00:33.6138060
816310659,MNQM5,04/14/2025 13:06:54 -04:00,04/14/2025 13:16:38 -04:00,18828.500000000,18824.750000000,0.74000,7.500000000,1,Short,04/14/2025 00:00:00 -05:00,00:09:44.3193640
1198165704,MNQU5,08/05/2025 10:12:58 -04:00,08/05/2025 10:19:42 -04:00,23313.750000000,23304.750000000,0.74000,18.000000000,1,Short,08/05/2025 00:00:00 -05:00,00:06:44.1190360
793228362,MNQM5,04/08/2025 14:04:49 -04:00,04/08/2025 14:10:36 -04:00,17640.250000000,17572.000000000,0.74000,-136.500000000,1,Long,04/08/2025 00:00:00 -05:00,00:05:47.0101550
793228363,MNQM5,04/08/2025 14:05:20 -04:00,04/08/2025 14:10:36 -04:00,17620.000000000,17572.000000000,0.74000,-96.000000000,1,Long,04/08/2025 00:00:00 -05:00,00:05:15.4887160
793228364,MNQM5,04/08/2025 14:06:19 -04:00,04/08/2025 14:10:36 -04:00,17596.250000000,17572.000000000,0.74000,-48.500000000,1,Long,04/08/2025 00:00:00 -05:00,00:04:16.6241140
793228365,MNQM5,04/08/2025 14:09:55 -04:00,04/08/2025 14:10:36 -04:00,17576.000000000,17572.000000000,2.22000,-24.000000000,3,Long,04/08/2025 00:00:00 -05:00,00:00:40.2377670
793236986,MNQM5,04/08/2025 14:11:50 -04:00,04/08/2025 14:12:19 -04:00,17574.000000000,17573.500000000,2.22000,-3.000000000,3,Long,04/08/2025 00:00:00 -05:00,00:00:29.3620960
793246847,MNQM5,04/08/2025 14:12:27 -04:00,04/08/2025 14:13:53 -04:00,17567.500000000,17530.500000000,0.74000,-74.000000000,1,Long,04/08/2025 00:00:00 -05:00,00:01:25.5999930
793246849,MNQM5,04/08/2025 14:13:03 -04:00,04/08/2025 14:13:53 -04:00,17541.500000000,17530.500000000,0.74000,-22.000000000,1,Long,04/08/2025 00:00:00 -05:00,00:00:50.1394700
793253913,MNQM5,04/08/2025 14:15:07 -04:00,04/08/2025 14:15:25 -04:00,17548.750000000,17557.750000000,2.22000,54.000000000,3,Long,04/08/2025 00:00:00 -05:00,00:00:17.2484120
940098490,MNQM5,05/16/2025 09:45:53 -04:00,05/16/2025 09:52:25 -04:00,21427.500000000,21422.750000000,0.74000,-9.500000000,1,Long,05/16/2025 00:00:00 -05:00,00:06:31.5847680
940098491,MNQM5,05/16/2025 09:46:06 -04:00,05/16/2025 09:52:25 -04:00,21429.750000000,21422.750000000,0.74000,-14.000000000,1,Long,05/16/2025 00:00:00 -05:00,00:06:19.2781020
940098493,MNQM5,05/16/2025 09:50:15 -04:00,05/16/2025 09:52:25 -04:00,21439.500000000,21422.750000000,0.74000,-33.500000000,1,Long,05/16/2025 00:00:00 -05:00,00:02:09.5473700
793266227,MNQM5,04/08/2025 14:17:12 -04:00,04/08/2025 14:17:15 -04:00,17611.750000000,17621.750000000,2.22000,60.000000000,3,Long,04/08/2025 00:00:00 -05:00,00:00:03.3908290
991769560,MNQM5,06/02/2025 11:06:34 -04:00,06/02/2025 14:17:45 -04:00,21385.000000000,21475.250000000,0.74000,180.500000000,1,Long,06/02/2025 00:00:00 -05:00,03:11:11.1486010
991769561,MNQM5,06/02/2025 11:42:42 -04:00,06/02/2025 14:17:45 -04:00,21385.000000000,21475.250000000,0.74000,180.500000000,1,Long,06/02/2025 00:00:00 -05:00,02:35:02.7965050
900100353,MNQM5,05/06/2025 14:14:48 -04:00,05/06/2025 14:16:42 -04:00,19867.750000000,19881.250000000,0.74000,27.000000000,1,Long,05/06/2025 00:00:00 -05:00,00:01:54.0544660
803406697,MNQM5,04/10/2025 10:51:31 -04:00,04/10/2025 10:51:39 -04:00,18677.500000000,18663.000000000,0.74000,-29.000000000,1,Long,04/10/2025 00:00:00 -05:00,00:00:07.9290520
793338801,MNQM5,04/08/2025 14:17:29 -04:00,04/08/2025 14:30:05 -04:00,17624.500000000,17578.000000000,2.22000,-279.000000000,3,Long,04/08/2025 00:00:00 -05:00,00:12:35.6992690
793338802,MNQM5,04/08/2025 14:24:16 -04:00,04/08/2025 14:30:05 -04:00,17586.750000000,17578.000000000,2.22000,-52.500000000,3,Long,04/08/2025 00:00:00 -05:00,00:05:48.6835020
793338804,MNQM5,04/08/2025 14:29:49 -04:00,04/08/2025 14:30:05 -04:00,17508.500000000,17578.000000000,4.44000,834.000000000,6,Long,04/08/2025 00:00:00 -05:00,00:00:15.1991770
